"","Parameters","P_Value"
"1","AXS0.0-AXL0.0",1
"2","AXS0.2-AXL0.2",1
"3","AXS0.4-AXL0.4",1
"4","AXS0.6-AXL0.6",0.999999999928479
"5","AXS0.8-AXL0.8",1
"6","AXS1.0-AXL1.0",1
"7","AYS0.0-AYL0.0",0.999999999677752
"8","AYS0.2-AYL0.2",0.999998598470002
"9","AYS0.4-AYL0.4",1
"10","AYS0.6-AYL0.6",1
"11","AYS0.8-AYL0.8",1
"12","AYS1.0-AYL1.0",1
"13","CXS0.0-CXL0.0",1
"14","CXS0.2-CXL0.2",0.999999969866343
"15","CXS0.4-CXL0.4",1
"16","CXS0.6-CXL0.6",1
"17","CXS0.8-CXL0.8",1
"18","CXS1.0-CXL1.0",1
"19","CYS0.0-CYL0.0",1
"20","CYS0.2-CYL0.2",1
"21","CYS0.4-CYL0.4",1
"22","CYS0.6-CYL0.6",1
"23","CYS0.8-CYL0.8",1
"24","CYS1.0-CYL1.0",1
